Application ID,Request ID,Financing Co.,Program,Inquiry Type,Decision,Application Date,Decision Date,Amount Requested,Credit Limit,Decision Reason,Purchase Date,Purchase Amount,Merchant Name,Applicant First Name,Applicant Last Name,DOB,Chart #
CA-100270,,CareCredit,Prime,Hard,Approved,12/22/2025,12/22/2025,$300.00,$400.00,,,,Sample Dental – Carson,Quinn,Mercer,11/27/2019,4000100
PR-100386,,Proceed Finance,Prime,Soft,Pre-declined,12/22/2025,12/25/2025,"$2,950.00",,Recent delinquency,,,Sample Dental – West Covina,Devon,Alvarez,10/15/2010,4000373
SU-100387,,Sunbit,Prime,Soft,Pre-declined,12/22/2025,12/22/2025,"$2,950.00",,Recent delinquency,,,Sample Dental – West Covina,Devon,Alvarez,10/15/2010,
CO-100388,,Covered Care,SubPrime,Hard,Pending,12/24/2025,,"$2,950.00",,,,,Sample Dental – West Covina,Devon,Alvarez,10/15/2010,4000373
PR-100381,REQ-5013,Proceed Finance,Prime,Soft,Funded,12/26/2025,12/29/2025,$550.00,$800.00,,1/17/2026,$734.00,Sample Dental – Carson,Quinn,Torres,7/18/1990,
CH-100382,REQ-5013,Cherry,Prime,Soft,Pre-declined,12/26/2025,12/26/2025,$550.00,,Unable to verify income,,,Sample Dental – Carson,Quinn,Torres,7/18/1990,
SU-100383,REQ-5013,Sunbit,Prime,Soft,Prequalified,12/26/2025,12/26/2025,$550.00,$700.00,,,,Sample Dental – Carson,Quinn,Torres,7/18/1990,
CA-100301,REQ-5005,CareCredit,Prime,Soft,Prequalified,1/27/2026,1/27/2026,$300.00,$400.00,,2/16/2026,$382.00,Sample Dental – Downey,Reese,Alvarez,5/15/1959,4000209
PR-100302,REQ-5005,Proceed Finance,Prime,Soft,Prequalified,1/27/2026,1/27/2026,$300.00,$300.00,,,,Sample Dental – Downey,Reese,Alvarez,5/15/1959,
SU-100402,,Sunbit,Prime,Soft,Pending,1/28/2026,,$300.00,,,,,Sample Dental – Carson,Finley,Nakamura,5/19/2002,
PR-100403,,Proceed Finance,Prime,Soft,Prequalified,1/28/2026,1/29/2026,$300.00,$300.00,,2/16/2026,$263.00,Sample Dental – Carson,Finley,Nakamura,5/19/2002,
CH-100297,,Cherry,Prime,Soft,Withdrawn,2/7/2026,,$300.00,,,,,Sample Dental – Downey,Sage,Rasmussen,5/18/2010,
SU-100298,,Sunbit,Prime,Soft,Withdrawn,2/7/2026,,$300.00,,,,,Sample Dental – Downey,Sage,Rasmussen,5/18/2010,
CH-100290,REQ-5004,Cherry,Prime,Soft,Prequalified,2/10/2026,2/10/2026,$450.00,$600.00,,3/1/2026,$600.00,Sample Dental – Downey,Riley,Chen,1/6/1949,4000177
AL-100291,REQ-5004,Alphaeon Credit,Prime,Soft,Prequalified,2/10/2026,2/10/2026,$450.00,$600.00,,,,Sample Dental – Downey,Riley,Chen,1/6/1949,
AL-100299,,Alphaeon Credit,Prime,Soft,Prequalified,2/16/2026,2/16/2026,"$1,750.00","$2,600.00",,3/7/2026,"$1,618.00",Sample Dental – Downey,Peyton,Rasmussen,12/5/1989,4000205
CA-100300,,CareCredit,Prime,Soft,Withdrawn,2/16/2026,,"$1,750.00",,,,,Sample Dental – Downey,Peyton,Rasmussen,12/5/1989,
CA-100373,,CareCredit,Prime,Soft,Prequalified,2/20/2026,2/21/2026,$300.00,$300.00,,,,Sample Dental – Downey,Riley,Navarro,5/8/1954,
CH-100374,,Cherry,Prime,Soft,Prequalified,2/20/2026,2/20/2026,$300.00,$400.00,,3/3/2026,$265.00,Sample Dental – Downey,Riley,Navarro,5/8/1954,
CA-100398,,CareCredit,Prime,Soft,Pre-declined,2/22/2026,2/22/2026,"$2,950.00",,Unable to verify income,,,Sample Dental – West Covina,Avery,Whitfield,2/17/2006,
AL-100399,,Alphaeon Credit,Prime,Soft,Prequalified,2/22/2026,2/23/2026,"$2,950.00","$4,300.00",,,,Sample Dental – West Covina,Avery,Whitfield,2/17/2006,4000383
CH-100334,,Cherry,Prime,Soft,Funded,3/6/2026,3/6/2026,$450.00,$600.00,,3/15/2026,$436.00,Sample Dental – West Covina,Cameron,Dawson,11/1/2004,
CA-100335,,CareCredit,Prime,Soft,Withdrawn,3/6/2026,,$450.00,,,,,Sample Dental – West Covina,Cameron,Dawson,11/1/2004,
SU-100413,,Sunbit,Prime,Hard,Declined,3/6/2026,3/6/2026,$450.00,,Debt-to-income too high,,,Sample Dental – West Covina,Quinn,Jensen,2/18/1956,
CA-100346,,CareCredit,Prime,Hard,Funded,3/7/2026,3/8/2026,"$4,450.00","$5,600.00",,3/21/2026,"$4,784.00",Sample Dental – Carson,Reese,Singh,10/17/1987,
HF-100414,,HFD,SubPrime,Hard,Pending,3/8/2026,,$450.00,,,,,Sample Dental – West Covina,Quinn,Jensen,2/18/1956,
CA-100325,,CareCredit,Prime,Hard,Approved,3/11/2026,3/11/2026,$400.00,$500.00,,,,Sample Dental – West Covina,Devon,Huang,5/26/1963,
CA-100369,,CareCredit,Prime,Soft,Pre-declined,3/15/2026,3/15/2026,$550.00,,Insufficient credit history,,,Sample Dental – West Covina,Blake,Xu,2/8/1979,
CH-100370,,Cherry,Prime,Soft,Prequalified,3/15/2026,3/18/2026,$550.00,$800.00,,,,Sample Dental – West Covina,Blake,Xu,2/8/1979,4000332
PR-100362,,Proceed Finance,Prime,Hard,Approved,3/18/2026,3/18/2026,$300.00,$400.00,,,,Sample Dental – Downey,Dakota,Holloway,6/10/1979,
PR-100349,REQ-5008,Proceed Finance,Prime,Soft,Prequalified,3/19/2026,3/20/2026,$300.00,$400.00,,4/2/2026,$287.00,Sample Dental – Carson,Shiloh,Vasquez,12/4/1998,
CH-100350,REQ-5008,Cherry,Prime,Soft,Prequalified,3/19/2026,3/20/2026,$300.00,$400.00,,,,Sample Dental – Carson,Shiloh,Vasquez,12/4/1998,
CH-100312,,Cherry,Prime,Soft,Prequalified,3/22/2026,3/23/2026,$550.00,$600.00,,4/3/2026,$522.00,Sample Dental – West Covina,Jordan,Holloway,10/2/2013,4000237
AL-100313,,Alphaeon Credit,Prime,Soft,Pre-declined,3/22/2026,3/25/2026,$550.00,,Debt-to-income too high,,,Sample Dental – West Covina,Jordan,Holloway,10/2/2013,4000237
CH-100275,,Cherry,Prime,Hard,Approved,3/30/2026,3/30/2026,$450.00,$500.00,,,,Sample Dental – Downey,Reese,Rasmussen,8/27/1995,
CA-100240,REQ-5001,CareCredit,Prime,Soft,Pending,3/31/2026,,$300.00,,,,,Sample Dental – Carson,Morgan,Quintero,12/15/1999,
CH-100241,REQ-5001,Cherry,Prime,Soft,Prequalified,3/31/2026,4/1/2026,$300.00,$300.00,,4/20/2026,$183.00,Sample Dental – Carson,Morgan,Quintero,12/15/1999,
CH-100309,,Cherry,Prime,Soft,Pre-declined,4/21/2026,4/22/2026,$300.00,,Unable to verify income,,,Sample Dental – West Covina,Bellamy,Kimura,7/16/1980,
CA-100310,,CareCredit,Prime,Soft,Pre-declined,4/21/2026,4/21/2026,$300.00,,Credit score below threshold,,,Sample Dental – West Covina,Bellamy,Kimura,7/16/1980,
CH-100267,REQ-5003,Cherry,Prime,Soft,Prequalified,4/22/2026,4/22/2026,$300.00,$300.00,,,,Sample Dental – Carson,Dakota,Singh,1/20/1993,
CA-100268,REQ-5003,CareCredit,Prime,Soft,Prequalified,4/22/2026,4/23/2026,$300.00,$400.00,,5/7/2026,$394.00,Sample Dental – Carson,Dakota,Singh,1/20/1993,
HF-100311,,HFD,SubPrime,Hard,Funded,4/22/2026,4/22/2026,$300.00,$400.00,,4/28/2026,$241.00,Sample Dental – West Covina,Bellamy,Kimura,7/16/1980,
CH-100336,,Cherry,Prime,Hard,Pending,4/24/2026,,$300.00,,,,,Sample Dental – Carson,Emerson,Kimura,2/9/1999,4000277
CA-100357,REQ-5010,CareCredit,Prime,Soft,Pre-declined,4/30/2026,4/30/2026,$450.00,,Unable to verify income,,,Sample Dental – West Covina,Morgan,Navarro,6/26/2012,
CH-100358,REQ-5010,Cherry,Prime,Soft,Prequalified,4/30/2026,5/3/2026,$450.00,$600.00,,,,Sample Dental – West Covina,Morgan,Navarro,6/26/2012,
SU-100359,REQ-5010,Sunbit,Prime,Soft,Pre-declined,4/30/2026,5/3/2026,$450.00,,Insufficient credit history,,,Sample Dental – West Covina,Morgan,Navarro,6/26/2012,
SU-100360,,Sunbit,Prime,Hard,Declined,5/2/2026,5/3/2026,$450.00,,Credit score below threshold,,,Sample Dental – West Covina,Morgan,Nakamura,3/20/1938,
HF-100361,,HFD,SubPrime,Hard,Approved,5/4/2026,5/4/2026,$450.00,$700.00,,,,Sample Dental – West Covina,Morgan,Nakamura,3/20/1938,
CH-100262,,Cherry,Prime,Hard,Approved,5/5/2026,5/6/2026,"$1,750.00","$2,400.00",,,,Sample Dental – Downey,Cameron,Chen,3/22/1938,
CH-100416,,Cherry,Prime,Soft,Prequalified,5/5/2026,5/5/2026,"$1,750.00","$2,100.00",,,,Sample Dental – West Covina,Reese,Quintero,6/10/1965,
CA-100417,,CareCredit,Prime,Soft,Prequalified,5/5/2026,5/6/2026,"$1,750.00","$2,000.00",,,,Sample Dental – West Covina,Reese,Quintero,6/10/1965,
CH-100294,,Cherry,Prime,Soft,Pre-declined,5/6/2026,5/6/2026,$550.00,,Credit score below threshold,,,Sample Dental – Downey,Dakota,Whitfield,10/23/2003,
PR-100295,,Proceed Finance,Prime,Soft,Pre-declined,5/6/2026,5/6/2026,$550.00,,Insufficient credit history,,,Sample Dental – Downey,Dakota,Whitfield,10/23/2003,4000184
SU-100296,,Sunbit,Prime,Soft,Funded,5/6/2026,5/6/2026,$550.00,$700.00,,5/20/2026,$488.00,Sample Dental – Downey,Dakota,Whitfield,10/23/2003,4000184
SU-100345,,Sunbit,Prime,Hard,Approved,5/20/2026,5/21/2026,$550.00,$800.00,,6/5/2026,$749.00,Sample Dental – Carson,Skyler,Sato,1/1/1987,4000290
CA-100263,,CareCredit,Prime,Hard,Funded,5/23/2026,5/23/2026,"$1,750.00","$1,900.00",,6/6/2026,"$1,758.00",Sample Dental – Carson,Tatum,Lindqvist,2/14/1993,
AL-100292,,Alphaeon Credit,Prime,Soft,Funded,5/23/2026,5/23/2026,$450.00,$500.00,,6/3/2026,$402.00,Sample Dental – Downey,Rowan,Ibarra,6/27/1987,
CH-100293,,Cherry,Prime,Soft,Prequalified,5/23/2026,5/24/2026,$450.00,$500.00,,,,Sample Dental – Downey,Rowan,Ibarra,6/27/1987,
PR-100389,,Proceed Finance,Prime,Soft,Pre-declined,5/27/2026,5/28/2026,$300.00,,Credit score below threshold,,,Sample Dental – West Covina,Quinn,Singh,10/22/2011,
SU-100390,,Sunbit,Prime,Soft,Pending,5/27/2026,,$300.00,,,,,Sample Dental – West Covina,Quinn,Singh,10/22/2011,4000376
SU-100266,,Sunbit,Prime,Hard,Approved,5/29/2026,5/29/2026,"$4,450.00","$5,000.00",,,,Sample Dental – West Covina,Reese,Whitfield,2/11/1981,
CO-100391,,Covered Care,SubPrime,Hard,Approved,5/30/2026,6/2/2026,$300.00,$400.00,,,,Sample Dental – West Covina,Quinn,Singh,10/22/2011,
CH-100285,,Cherry,Prime,Hard,Declined,6/3/2026,6/3/2026,$300.00,,Debt-to-income too high,,,Sample Dental – Carson,Devon,Kimura,5/12/1999,
HF-100286,,HFD,SubPrime,Hard,Declined,6/4/2026,6/5/2026,$300.00,,Insufficient credit history,,,Sample Dental – Carson,Devon,Kimura,5/12/1999,
AL-100230,,Alphaeon Credit,Prime,Soft,Prequalified,6/6/2026,6/6/2026,$300.00,$400.00,,6/17/2026,$388.00,Sample Dental – Downey,Sage,Sato,7/3/1994,
CA-100231,,CareCredit,Prime,Soft,Prequalified,6/6/2026,6/6/2026,$300.00,$400.00,,,,Sample Dental – Downey,Sage,Sato,7/3/1994,
CA-999001,,Care Credit,Prime,Soft,Approved,6/6/2026,6/6/2026,$300.00,$400.00,,6/17/2026,$388.00,Sample Dental – Downey,Nobody,Inpms,1/1/1970,
CH-999002,,Cherry,Prime,Soft,Declined,6/6/2026,6/6/2026,$300.00,$400.00,,,,Sample Dental – Downey,Also,Missing,5/5/1980,
AL-100248,,Alphaeon Credit,Prime,Soft,Prequalified,6/7/2026,6/8/2026,$800.00,"$1,100.00",,,,Sample Dental – Downey,Sage,Fitzgerald,12/14/1962,
CA-100249,,CareCredit,Prime,Soft,Pending,6/7/2026,,$800.00,,,,,Sample Dental – Downey,Sage,Fitzgerald,12/14/1962,
CA-100272,,CareCredit,Prime,Hard,Approved,6/10/2026,6/10/2026,$300.00,$300.00,,,,Sample Dental – West Covina,Casey,Singh,12/4/2008,
CA-100352,REQ-5009,CareCredit,Prime,Soft,Prequalified,6/10/2026,6/13/2026,$550.00,$800.00,,6/16/2026,$715.00,Sample Dental – West Covina,Kendall,Torres,6/28/1994,
CH-100353,REQ-5009,Cherry,Prime,Soft,Pending,6/10/2026,,$550.00,,,,,Sample Dental – West Covina,Kendall,Torres,6/28/1994,
CA-100251,,CareCredit,Prime,Soft,Withdrawn,6/12/2026,,$300.00,,,,,Sample Dental – West Covina,Rowan,Zamora,7/16/1955,
SU-100252,,Sunbit,Prime,Soft,Pre-declined,6/12/2026,6/13/2026,$300.00,,Debt-to-income too high,,,Sample Dental – West Covina,Rowan,Zamora,7/16/1955,
AL-100253,,Alphaeon Credit,Prime,Soft,Prequalified,6/12/2026,6/12/2026,$300.00,$400.00,,6/17/2026,$274.00,Sample Dental – West Covina,Rowan,Zamora,7/16/1955,
CA-100273,,CareCredit,Prime,Soft,Pre-declined,6/12/2026,6/13/2026,"$2,950.00",,Insufficient credit history,,,Sample Dental – Carson,Marlow,Sato,12/7/1967,
AL-100274,,Alphaeon Credit,Prime,Soft,Prequalified,6/12/2026,6/12/2026,"$2,950.00","$3,800.00",,6/29/2026,"$2,595.00",Sample Dental – Carson,Marlow,Sato,12/7/1967,
SU-100314,REQ-5006,Sunbit,Prime,Soft,Pre-declined,6/15/2026,6/15/2026,$300.00,,Recent delinquency,,,Sample Dental – West Covina,Jordan,Holloway,10/2/2013,
CA-100315,REQ-5006,CareCredit,Prime,Soft,Prequalified,6/15/2026,6/18/2026,$300.00,$300.00,,,,Sample Dental – West Covina,Jordan,Holloway,10/2/2013,
AL-100316,REQ-5006,Alphaeon Credit,Prime,Soft,Prequalified,6/15/2026,6/16/2026,$300.00,$400.00,,6/28/2026,$307.00,Sample Dental – West Covina,Jordan,Holloway,10/2/2013,
CH-100246,REQ-5002,Cherry,Prime,Soft,Prequalified,6/22/2026,6/22/2026,$300.00,$400.00,,,,Sample Dental – Downey,Marlow,Ueda,12/13/1978,
SU-100247,REQ-5002,Sunbit,Prime,Soft,Prequalified,6/22/2026,6/22/2026,$300.00,$400.00,,,,Sample Dental – Downey,Marlow,Ueda,12/13/1978,
SU-100280,,Sunbit,Prime,Hard,Approved,6/23/2026,6/26/2026,$450.00,$500.00,,,,Sample Dental – West Covina,Finley,Singh,4/15/1962,4000144
CA-100404,,CareCredit,Prime,Soft,Pre-declined,6/24/2026,6/24/2026,$300.00,,Debt-to-income too high,,,Sample Dental – Carson,Reese,Singh,8/22/2014,
AL-100405,,Alphaeon Credit,Prime,Soft,Pending,6/24/2026,,$300.00,,,,,Sample Dental – Carson,Reese,Singh,8/22/2014,
PR-100407,,Proceed Finance,Prime,Soft,Prequalified,6/25/2026,6/26/2026,"$4,450.00","$6,000.00",,,,Sample Dental – West Covina,Skyler,Chen,6/20/1983,
CA-100408,,CareCredit,Prime,Soft,Prequalified,6/25/2026,6/25/2026,"$4,450.00","$6,300.00",,7/5/2026,"$4,237.00",Sample Dental – West Covina,Skyler,Chen,6/20/1983,
HF-100406,,HFD,SubPrime,Hard,Funded,6/26/2026,6/26/2026,$300.00,$400.00,,7/12/2026,$241.00,Sample Dental – Carson,Reese,Singh,8/22/2014,4000395
AL-100323,,Alphaeon Credit,Prime,Hard,Declined,6/27/2026,6/27/2026,$450.00,,Unable to verify income,,,Sample Dental – West Covina,Peyton,Nakamura,12/9/2006,
AC-100324,,Access,SubPrime,Hard,Approved,6/28/2026,6/28/2026,$450.00,$500.00,,7/18/2026,$419.00,Sample Dental – West Covina,Peyton,Nakamura,12/9/2006,4000257
AL-100304,,Alphaeon Credit,Prime,Soft,Prequalified,6/29/2026,6/29/2026,$300.00,$300.00,,,,Sample Dental – West Covina,Rowan,Okafor,8/3/1979,
SU-100305,,Sunbit,Prime,Soft,Funded,6/29/2026,7/2/2026,$300.00,$300.00,,7/7/2026,$226.00,Sample Dental – West Covina,Rowan,Okafor,8/3/1979,
CA-100306,,CareCredit,Prime,Soft,Pre-declined,6/29/2026,6/29/2026,$300.00,,Credit score below threshold,,,Sample Dental – West Covina,Rowan,Okafor,8/3/1979,
SU-100244,,Sunbit,Prime,Hard,Approved,6/30/2026,6/30/2026,"$2,950.00","$3,500.00",,,,Sample Dental – West Covina,Tatum,Lindqvist,10/2/1947,
SU-100351,,Sunbit,Prime,Hard,Funded,7/2/2026,7/2/2026,$300.00,$300.00,,7/17/2026,$291.00,Sample Dental – Downey,Reese,Mercer,4/8/1948,
CA-100401,,CareCredit,Prime,Hard,Funded,7/4/2026,7/4/2026,$450.00,$600.00,,7/9/2026,$535.00,Sample Dental – Carson,Morgan,Holloway,9/18/1995,
CH-100340,REQ-5007,Cherry,Prime,Soft,Withdrawn,7/8/2026,,"$1,750.00",,,,,Sample Dental – Carson,Quinn,Holloway,2/15/1972,
CA-100341,REQ-5007,CareCredit,Prime,Soft,Prequalified,7/8/2026,7/9/2026,"$1,750.00","$2,300.00",,,,Sample Dental – Carson,Quinn,Holloway,2/15/1972,
CA-100243,,CareCredit,Prime,Hard,Declined,7/13/2026,7/14/2026,"$1,750.00",,Insufficient credit history,,,Sample Dental – Carson,Bellamy,Singh,11/5/1985,
CA-100378,,CareCredit,Prime,Hard,Approved,7/16/2026,7/16/2026,$450.00,$500.00,,,,Sample Dental – Carson,Kendall,Alvarez,11/5/1945,
PR-100418,,Proceed Finance,Prime,Soft,Pre-declined,7/19/2026,7/19/2026,$550.00,,Insufficient credit history,,,Sample Dental – Carson,Peyton,Huang,9/21/1971,
CA-100419,,CareCredit,Prime,Soft,Pre-declined,7/19/2026,7/19/2026,$550.00,,Recent delinquency,,,Sample Dental – Carson,Peyton,Huang,9/21/1971,
CH-100337,,Cherry,Prime,Soft,Pre-declined,7/23/2026,7/23/2026,$450.00,,Credit score below threshold,,,Sample Dental – West Covina,Quinn,Navarro,6/25/1981,4000278
CA-100338,,CareCredit,Prime,Soft,Pending,7/23/2026,,$450.00,,,,,Sample Dental – West Covina,Quinn,Navarro,6/25/1981,
FO-100339,,Fortiva,SubPrime,Hard,Approved,7/25/2026,7/25/2026,$450.00,$500.00,,,,Sample Dental – West Covina,Quinn,Navarro,6/25/1981,
CA-100420,,CareCredit,Prime,Soft,Withdrawn,7/28/2026,,$300.00,,,,,Sample Dental – West Covina,Devon,Garza,9/7/2008,
SU-100421,,Sunbit,Prime,Soft,Pending,7/28/2026,,$300.00,,,,,Sample Dental – West Covina,Devon,Garza,9/7/2008,
CH-100422,,Cherry,Prime,Soft,Prequalified,7/28/2026,7/29/2026,$300.00,$300.00,,8/2/2026,$276.00,Sample Dental – West Covina,Devon,Garza,9/7/2008,
CH-100235,,Cherry,Prime,Soft,Pending,7/30/2026,,$800.00,,,,,Sample Dental – Downey,Finley,Alvarez,5/17/1997,
CA-100236,,CareCredit,Prime,Soft,Pre-declined,7/30/2026,7/30/2026,$800.00,,Recent delinquency,,,Sample Dental – Downey,Finley,Alvarez,5/17/1997,
AL-100264,,Alphaeon Credit,Prime,Soft,Pre-declined,7/31/2026,7/31/2026,$300.00,,Credit score below threshold,,,Sample Dental – Carson,Skyler,Mercer,4/12/2001,
CA-100265,,CareCredit,Prime,Soft,Pre-declined,7/31/2026,8/3/2026,$300.00,,Credit score below threshold,,,Sample Dental – Carson,Skyler,Mercer,4/12/2001,
